STARTTIME;SOURCE;DEST;PROTO;PACKETS;BYTES;DURATION
2019-09-03T05:31:04;8.8.8.8:53;10.23.35.61:35799;udp;11;2194;00:00:00
2019-09-03T05:31:40;8.8.8.8:53;10.23.35.61:32175;udp;11;2194;00:00:00
2019-09-03T05:31:48;8.8.8.8:53;10.23.35.133:53461;udp;1;140;00:00:00
2019-09-03T05:31:59;8.8.8.8:53;10.23.35.133:61723;udp;1;140;00:00:00
2019-09-03T05:32:16;8.8.8.8:53;10.23.35.61:2162;udp;11;2194;00:00:00
2019-09-03T05:32:46;8.8.8.8:53;10.23.35.133:54476;udp;1;141;00:00:00
2019-09-03T05:32:52;8.8.8.8:53;10.23.35.61:31425;udp;11;2194;00:00:00
2019-09-03T05:33:28;8.8.8.8:53;10.23.35.61:3045;udp;11;2197;00:00:00
2019-09-03T05:33:36;8.8.8.8:53;10.23.35.133:62174;udp;1;78;00:00:00
2019-09-03T05:34:03;8.8.8.8:53;10.23.35.61:11235;udp;11;2188;00:00:00
2019-09-03T05:34:32;8.8.8.8:53;10.23.35.133:53296;udp;1;140;00:00:00
2019-09-03T05:34:39;8.8.8.8:53;10.23.35.61:43213;udp;11;2194;00:00:00
2019-09-03T05:34:46;8.8.8.8:53;10.23.35.133:59252;udp;1;81;00:00:00
2019-09-03T05:35:15;8.8.8.8:53;10.23.35.61:18338;udp;11;2191;00:00:00
2019-09-03T05:35:24;8.8.8.8:53;10.23.35.133:59662;udp;1;124;00:00:00
2019-09-03T05:35:51;8.8.8.8:53;10.23.35.61:29570;udp;11;2194;00:00:00
2019-09-03T05:36:10;8.8.8.8:53;10.23.35.133:53854;udp;1;78;00:00:00
2019-09-03T05:36:27;8.8.8.8:53;10.23.35.61:13579;udp;11;2194;00:00:00
2019-09-03T05:37:03;8.8.8.8:53;10.23.35.61:53001;udp;11;2194;00:00:00
2019-09-03T05:37:30;8.8.8.8:53;10.23.35.133:53759;udp;1;116;00:00:00
2019-09-03T05:37:38;8.8.8.8:53;10.23.35.61:12358;udp;11;2197;00:00:00
2019-09-03T05:38:01;8.8.8.8:53;10.23.35.133:64635;udp;1;191;00:00:00
2019-09-03T05:38:14;8.8.8.8:53;10.23.35.61:14880;udp;11;2194;00:00:00
2019-09-03T05:38:37;8.8.8.8:53;10.23.35.133:59333;udp;1;158;00:00:00
2019-09-03T05:38:38;8.8.8.8:53;10.23.35.133:53408;udp;1;166;00:00:00
2019-09-03T05:38:50;8.8.8.8:53;10.23.35.61:51325;udp;11;2197;00:00:00
2019-09-03T05:39:26;8.8.8.8:53;10.23.35.61:45360;udp;11;2191;00:00:00
2019-09-03T05:39:42;8.8.8.8:53;10.23.35.133:51418;udp;1;124;00:00:00
2019-09-03T05:39:42;8.8.8.8:53;10.23.35.133:49331;udp;1;80;00:00:00
2019-09-03T05:40:02;8.8.8.8:53;10.23.35.61:40516;udp;11;2200;00:00:00
2019-09-03T05:40:38;8.8.8.8:53;10.23.35.61:12425;udp;11;2191;00:00:00
2019-09-03T05:41:14;8.8.8.8:53;10.23.35.61:16127;udp;11;2194;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55764;udp;1;145;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55588;udp;1;146;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:57415;udp;1;116;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:55917;udp;1;281;00:00:00
2019-09-03T05:41:36;8.8.8.8:53;10.23.35.133:61392;udp;1;220;00:00:00
2019-09-03T05:41:50;8.8.8.8:53;10.23.35.61:11133;udp;11;2185;00:00:00
2019-09-03T05:42:26;8.8.8.8:53;10.23.35.61:4572;udp;11;2203;00:00:00
2019-09-03T05:42:48;8.8.8.8:53;10.23.35.133:62026;udp;1;81;00:00:00
2019-09-03T05:43:02;8.8.8.8:53;10.23.35.61:25767;udp;11;2200;00:00:00
2019-09-03T05:43:06;8.8.8.8:53;10.23.35.133:51014;udp;1;81;00:00:00
2019-09-03T05:43:08;8.8.8.8:53;10.23.35.133:62575;udp;1;135;00:00:00
2019-09-03T05:43:38;8.8.8.8:53;10.23.35.61:8075;udp;11;2194;00:00:00
2019-09-03T05:44:14;8.8.8.8:53;10.23.35.61:7683;udp;11;2194;00:00:00
2019-09-03T05:44:50;8.8.8.8:53;10.23.35.61:27327;udp;11;2194;00:00:00
2019-09-03T05:44:57;8.8.8.8:53;10.23.35.133:59665;udp;1;81;00:00:00
2019-09-03T05:44:57;8.8.8.8:53;10.23.35.133:50350;udp;1;135;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:21211;udp;1;85;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:52819;udp;1;173;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:29475;udp;1;126;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:12789;udp;1;103;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:50706;udp;1;291;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:43231;udp;1;198;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:12001;udp;1;210;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:2037;udp;1;293;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:2498;udp;1;147;00:00:00
2019-09-03T05:45:06;8.8.8.8:53;10.23.35.60:23978;udp;1;230;00:00:00
2019-09-03T05:45:26;8.8.8.8:53;10.23.35.61:45527;udp;11;2194;00:00:00
2019-09-03T05:45:57;8.8.8.8:53;10.23.35.60:16492;udp;1;176;00:00:00
2019-09-03T05:46:02;8.8.8.8:53;10.23.35.61:16719;udp;11;2197;00:00:00
2019-09-03T05:46:06;8.8.8.8:53;10.23.35.133:49170;udp;1;140;00:00:00
2019-09-03T05:46:09;8.8.8.8:53;10.23.35.60:49727;udp;1;85;00:00:00
2019-09-03T05:46:10;8.8.8.8:53;10.23.35.133:50098;udp;1;78;00:00:00
2019-09-03T05:46:13;8.8.8.8:53;10.23.35.133:64913;udp;1;78;00:00:00
2019-09-03T05:46:38;8.8.8.8:53;10.23.35.61:23422;udp;11;2194;00:00:00
2019-09-03T05:47:14;8.8.8.8:53;10.23.35.61:12860;udp;11;2200;00:00:00
2019-09-03T05:47:50;8.8.8.8:53;10.23.35.61:54174;udp;11;2197;00:00:00
2019-09-03T05:48:26;8.8.8.8:53;10.23.35.61:54513;udp;11;2191;00:00:00
2019-09-03T05:48:42;8.8.8.8:53;10.23.35.133:49445;udp;1;140;00:00:00
2019-09-03T05:48:50;8.8.8.8:53;10.23.35.60:20780;udp;1;85;00:00:00
2019-09-03T05:49:02;8.8.8.8:53;10.23.35.61:11848;udp;11;2197;00:00:00
2019-09-03T05:49:38;8.8.8.8:53;10.23.35.61:60481;udp;11;2194;00:00:00
2019-09-03T05:50:14;8.8.8.8:53;10.23.35.61:56098;udp;11;2194;00:00:00
2019-09-03T05:50:50;8.8.8.8:53;10.23.35.61:20903;udp;11;2197;00:00:00
2019-09-03T05:51:04;8.8.8.8:53;10.23.35.133:63654;udp;1;124;00:00:00
2019-09-03T05:51:26;8.8.8.8:53;10.23.35.61:23416;udp;11;2197;00:00:00
2019-09-03T05:52:02;8.8.8.8:53;10.23.35.61:13051;udp;11;2194;00:00:00
2019-09-03T05:52:38;8.8.8.8:53;10.23.35.61:61343;udp;11;2197;00:00:00
2019-09-03T05:53:14;8.8.8.8:53;10.23.35.61:33700;udp;11;2200;00:00:00
2019-09-03T05:53:33;8.8.8.8:53;10.23.35.133:55482;udp;1;139;00:00:00
2019-09-03T05:53:50;8.8.8.8:53;10.23.35.61:54845;udp;11;2194;00:00:00
2019-09-03T05:54:26;8.8.8.8:53;10.23.35.61:17363;udp;11;2200;00:00:00
2019-09-03T05:54:52;8.8.8.8:53;10.23.35.133:56664;udp;1;124;00:00:00
2019-09-03T05:55:02;8.8.8.8:53;10.23.35.61:27153;udp;11;2200;00:00:00
2019-09-03T05:55:38;8.8.8.8:53;10.23.35.61:39673;udp;11;2191;00:00:00
2019-09-03T05:55:38;8.8.8.8:53;10.23.35.60:9283;udp;1;85;00:00:00
2019-09-03T05:56:14;8.8.8.8:53;10.23.35.61:19895;udp;11;2200;00:00:00
2019-09-03T05:56:50;8.8.8.8:53;10.23.35.61:1272;udp;11;2197;00:00:00
2019-09-03T05:57:26;8.8.8.8:53;10.23.35.61:34064;udp;11;2206;00:00:00
2019-09-03T05:57:40;8.8.8.8:53;10.23.35.133:51158;udp;1;116;00:00:00
2019-09-03T05:57:48;8.8.8.8:53;10.23.35.133:64595;udp;1;81;00:00:00
2019-09-03T05:58:02;8.8.8.8:53;10.23.35.61:53871;udp;11;2197;00:00:00
2019-09-03T05:58:06;8.8.8.8:53;10.23.35.133:51637;udp;1;81;00:00:00
2019-09-03T05:58:38;8.8.8.8:53;10.23.35.61:32059;udp;11;2191;00:00:00
2019-09-03T05:59:14;8.8.8.8:53;10.23.35.61:2976;udp;11;2191;00:00:00
2019-09-03T05:59:50;8.8.8.8:53;10.23.35.61:33222;udp;11;2194;00:00:00
2019-09-03T05:00:03;10.23.35.133:64352;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:00:24;10.23.35.61:45153;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:00:47;10.23.35.133:64967;8.8.8.8:53;udp;1;64;00:00:00
2019-09-03T05:01:00;10.23.35.61:53988;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:01:36;10.23.35.61:11649;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:01:46;10.23.35.133:56183;8.8.8.8:53;udp;1;66;00:00:00
2019-09-03T05:01:51;10.23.35.133:54222;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:02:12;10.23.35.61:57450;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:02:33;10.23.35.133:55622;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:02:48;10.23.35.61:19080;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:03:08;10.23.35.133:62722;8.8.8.8:53;udp;1;60;00:00:00
2019-09-03T05:03:24;10.23.35.61:2574;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:03:31;10.23.35.133:63682;8.8.8.8:53;udp;1;62;00:00:00
2019-09-03T05:04:00;10.23.35.61:16115;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:04:14;10.23.35.133:53382;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:04:15;10.23.35.133:56465;8.8.8.8:53;udp;1;81;00:00:00
2019-09-03T05:04:36;10.23.35.61:47284;8.8.8.8:53;udp;11;742;00:00:00
2019-09-03T05:04:51;10.23.35.133:54920;8.8.8.8:53;udp;1;65;00:00:00
2019-09-03T05:03:49;10.23.35.133:1024;8.8.8.8:53;udp;2;136;00:01:04
