"_time","http.http_user_agent","http.protocol","http.http_method"
"2021-03-04T17:35:37.346+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36 CrKey/1.50.229149","HTTP/1.1",HEAD
"2021-03-04T17:35:37.323+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.322+0100","Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36 CrKey/1.50.230474","HTTP/1.1",HEAD
"2021-03-04T17:35:37.314+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.313+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.310+0100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:72.0) Gecko/20100101 Firefox/72.0","HTTP/1.1",GET
"2021-03-04T17:35:37.303+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.301+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.300+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.291+0100","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:72.0) Gecko/20100101 Firefox/72.0","HTTP/1.1",GET
"2021-03-04T17:35:37.291+0100","Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36 CrKey/1.50.230474","HTTP/1.1",HEAD
"2021-03-04T17:35:37.283+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.280+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.271+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.262+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.257+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.236+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.229+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.225+0100","Mozilla/5.0 (SmartHub; SMART-TV; U; Linux/SmartTV+2015; Maple2012) AppleWebKit/537.42+ (KHTML, like Gecko) SmartTV Safari/537.42+","HTTP/1.1",GET
"2021-03-04T17:35:37.212+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.210+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36","HTTP/1.1",GET
"2021-03-04T17:35:37.207+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.188+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.175+0100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","HTTP/1.1",GET
"2021-03-04T17:35:37.146+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.144+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.127+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.113+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.102+0100","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","HTTP/1.1",GET
"2021-03-04T17:35:37.089+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.068+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.057+0100","Mozilla/5.0 (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36 CrKey/1.49.230269","HTTP/1.1",HEAD
"2021-03-04T17:35:37.050+0100","Mozilla/5.0 (SmartHub; SMART-TV; U; Linux/SmartTV+2015; Maple2012) AppleWebKit/537.42+ (KHTML, like Gecko) SmartTV Safari/537.42+","HTTP/1.1",GET
"2021-03-04T17:35:37.042+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
"2021-03-04T17:35:37.040+0100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36 Edg/88.0.705.81","HTTP/1.1",GET
"2021-03-04T17:35:37.040+0100","Mozilla/5.0 (X11; Linux aarch64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.125 Safari/537.36 CrKey/1.50.230474","HTTP/1.1",HEAD
"2021-03-04T17:35:37.026+0100","Mozilla/4.0 (compatible; ms-office; MSOffice 16)","HTTP/1.1",GET
